date,day,aircraft,helicopter,tank,APC,field artillery,MRL,military auto,fuel tank,drone,naval ship,anti-aircraft warfare,special equipment,mobile SRBM system,vehicles and fuel tanks,cruise missiles,greatest losses direction,sum_eq,Ilość,Samoloty,Czołgi,Drony,Tydzień,Ludzie,Żołnierze
2022-05-20,86,204,168,1263,3090,596,200,,,460,13,93,43.0,,2162.0,103.0,,1927,16,2,10,6,Trzynasty,28700,201
2022-05-21,87,204,169,1278,3116,596,201,,,462,13,93,43.0,,2178.0,104.0,,1944,18,1,16,3,Trzynasty,28850,151
2022-05-22,88,204,170,1285,3141,599,201,,,470,13,93,43.0,,2194.0,107.0,,1959,16,1,8,9,Trzynasty,29050,201
2022-05-23,89,204,170,1293,3166,604,201,,,476,13,93,43.0,,2206.0,110.0,,1973,15,1,9,7,Trzynasty,29200,151
2022-05-24,90,205,170,1302,3194,606,201,,,480,13,93,43.0,,2213.0,112.0,,1987,15,2,10,5,Trzynasty,29350,151
2022-05-25,91,206,170,1305,3213,606,201,,,491,13,93,44.0,,2217.0,112.0,Lyman,2002,16,2,4,12,Trzynasty,29450,101
2022-05-26,92,206,170,1315,3235,617,201,,,502,13,93,47.0,,2225.0,114.0,Avdiivka,2023,22,1,11,12,Czternasty,29600,151
2022-05-27,93,206,170,1322,3246,623,201,,,503,13,93,48.0,,2226.0,115.0,Avdiivka,2031,9,1,8,2,Czternasty,29750,151
2022-05-28,94,207,174,1330,3258,628,203,,,503,13,93,48.0,,2226.0,116.0,Avdiivka and Kryvyi Rih,2040,10,2,9,1,Czternasty,30000,251
2022-05-29,95,207,174,1338,3270,631,203,,,504,13,93,48.0,,2240.0,116.0,Bahmut,2049,10,1,9,2,Czternasty,30150,151
2022-05-30,96,207,174,1349,3282,643,205,,,507,13,93,48.0,,2258.0,118.0,Zaporizhzhia,2063,15,1,12,4,Czternasty,30350,201
2022-05-31,97,208,174,1358,3302,649,207,,,515,13,93,48.0,,2275.0,120.0,Kryvyi Rih and Zaporizhzhya,2081,19,2,10,9,Czternasty,30500,151
2022-06-01,98,208,175,1361,3343,659,207,,,519,13,94,49.0,,2290.0,120.0,Kryvyi Rih and Bakhmut,2088,8,1,4,5,Czternasty,30700,201
2022-06-02,99,210,175,1363,3354,661,207,,,521,13,95,51.0,,2325.0,120.0,Bakhmut,2094,7,3,3,3,Piętnasty,30850,151
2022-06-03,100,210,175,1367,3366,675,207,,,535,13,95,51.0,,2329.0,121.0,Bakhmut,2112,19,1,5,15,Piętnasty,30950,101
2022-06-04,101,210,175,1376,3379,680,207,,,540,13,95,52.0,,2337.0,122.0,Zaporizhzhia,2126,15,1,10,6,Piętnasty,31050,101
